Rk,Player,Pos,Tm,Cap Hit
,Dontrelle Inman\InmaDo00,WR,2TM,$2746000
,Trey Burton\BurtTr01,TE,PHI,$2746000
,Wesley Johnson\JohnWe00,OT,NYJ,$2746000
276,Travis Kelce\KelcTr00,TE,KAN,$2700000
,Stephen Gostkowski\GostSt20,K,NWE,$2700000
278,Ramon Foster\FostRa21,T,PIT,$2675000
279,Dante Fowler\FowlDa00,OLB,JAX,$2570478
280,Drew Stanton\StanDr00,QB,ARI,$2550000
,Dre Kirkpatrick\KirkDr00,CB,CIN,$2550000
282,Brandon Marshall\MarsBr01,OLB,DEN,$2500000
,Jared Cook\CookJa02,TE,OAK,$2500000
,Jarius Wright\WrigJa02,WR,MIN,$2500000
,Patrick Chung\ChunPa99,DB,NWE,$2500000
,Ronald Leary\LearRo00,G,DEN,$2500000
,Donald Stephenson\StepDo00,T,DEN,$2500000
,Jamar Taylor\TaylJa01,CB,CLE,$2500000
,Dwayne Allen\AlleDw00,TE,NWE,$2500000
,Abry Jones\JoneAb00,DT,JAX,$2500000
,Chris Hogan\HogaCh00,WR,NWE,$2500000
,Morris Claiborne\ClaiMo00,CB,NYJ,$2500000
,Cordarrelle Patterson\PattCo00,WR,OAK,$2500000
,Quintin Demps\DempQu99,DB,CHI,$2500000
,Jabaal Sheard\SheaJa00,DL,IND,$2500000
296,Dwayne Harris\HarrDw00,WR,NYG,$2475000
297,Zane Beadles\BeadZa20,T,SFO,$2450000
,Emmanuel Lamur\LamuEm00,LB,MIN,$2450000
299,Johnny Hekker\HekkJo00,P,LAR,$2444444
300,Ryan Succop\SuccRy44,K,TEN,$2400000
,Marquette King\KingMa00,P,OAK,$2400000
,Da'Norris Searcy\SearDa00,DB,TEN,$2400000
,Terence Newman\NewmTe20,DB,MIN,$2400000
304,Micah Hyde\HydeMi00,CB,BUF,$2300000
,Tom Johnson\JohnTo01,DT,MIN,$2300000
,Sam Koch\KochSa20,P,BAL,$2300000
307,Brian Cushing\CushBr99,LB,HOU,$2264706
308,Lane Taylor\TaylLa01,G,GNB,$2250000
,Vincent Rey\ReyxVi00,LB,CIN,$2250000
,Elvis Dumervil\DumeEl20,DE,SFO,$2250000
,Arthur Moats\MoatAr00,LB,PIT,$2250000
,James Hanna\HannJa00,TE,DAL,$2250000
,Stacy McGee\McGeSt01,DT,WAS,$2250000
,Chad Henne\HennCh01,QB,JAX,$2250000
,Terrell McClain\McClTe00,DL,WAS,$2250000
316,Sam Martin\MartSa01,P,DET,$2225000
317,Jermaine Kearse\KearJe01,WR,NYJ,$2200000
,Matthew Bosher\BoshMa00,P,ATL,$2200000
,Wesley Woodyard\WoodWe20,LB,TEN,$2200000
320,Anthony Barr\BarrAn00,OLB,MIN,$2157750
321,Shane Vereen\VereSh00,RB,NYG,$2150000
322,J.J. Wilcox\WilcJ.00,S,PIT,$2125000
323,Vance McDonald\McDoVa00,TE,PIT,$2100000
,Mike Daniels\DaniMi00,DT,GNB,$2100000
325,D.J. Hayden\HaydDJ00,CB,DET,$2000000
,Brice McCain\McCaBr99,DB,TEN,$2000000
,Vince Williams\WillVi01,ILB,PIT,$2000000
,Kyle Juszczyk\JuszKy00,FB,SFO,$2000000
,Vernon Davis\DaviVe00,TE,WAS,$2000000
,Matt Slauson\SlauMa20,G,LAC,$2000000
,Robert Alford\AlfoRo00,CB,ATL,$2000000
,Jermaine Gresham\GresJe00,TE,ARI,$2000000
,Jonathan Cyprien\CyprJo00,SS,TEN,$2000000
,Antoine Bethea\BethAn20,DB,ARI,$2000000
,Dion Sims\SimsDi00,TE,CHI,$2000000
,D.J. Swearinger\SweaDJ00,FS,WAS,$2000000
,Brynden Trawick\TrawBr00,S,TEN,$2000000
,Danny Trevathan\TrevDa00,OLB,CHI,$2000000
,William Gay\GayxWi99,DB,PIT,$2000000
,Sylvester Williams\WillSy00,DT,TEN,$2000000
,J.C. Tretter\TretJC00,OG,CLE,$2000000
,Phil Dawson\dawsophi01,K,ARI,$2000000
,Ted Ginn\GinnTe00,WR,NOR,$2000000
,Paul Worrilow\WorrPa00,LB,DET,$2000000
,Brandon Carr\CarrBr99,DB,BAL,$2000000
,Ben Ijalana\IjalBe00,OL,NYJ,$2000000
,Josh Robinson\RobiJo01,CB,TAM,$2000000
,Connor Barwin\BarwCo99,DE,LAR,$2000000
,Lorenzo Alexander\AlexLo99,DT,BUF,$2000000
,Clinton McDonald\McDoCl99,DT,TAM,$2000000
,Justin Bethel\BethJu00,CB,ARI,$2000000
352,Taylor Lewan\LewaTa00,OT,TEN,$1986136
353,Kenny Stills\StilKe00,WR,MIA,$1975000
354,Marcus Sherels\SherMa20,DB,MIN,$1950000
,Marquise Goodwin\GoodMa00,WR,SFO,$1950000
,Ed Dickson\DickEd00,TE,CAR,$1950000
357,Brad Nortman\NortBr00,P,JAX,$1900000
,Landry Jones\JoneLa02,QB,PIT,$1900000
,Kurt Coleman\ColeKu99,LB,CAR,$1900000
,Everson Griffen\GrifEv99,DE,MIN,$1900000
361,Odell Beckham\BeckOd00,WR,NYG,$1839027
362,Aaron Donald\DonaAa00,DT,LAR,$1802250
363,Rex Burkhead\BurkRe00,RB,NWE,$1800000
364,John Brown\BrowJo02,WR,ARI,$1797000
,Avery Williamson\WillAv00,ILB,TEN,$1797000
,Kevin Pamphile\PampKe00,OT,TAM,$1797000
