Id,Id2,Geography,HousingUnits
1600000US2732768,2732768,"Kensington city, Minnesota",148
1600000US2732786,2732786,"Kent city, Minnesota",47
1600000US2732840,2732840,"Kenyon city, Minnesota",719
1600000US2732876,2732876,"Kerkhoven city, Minnesota",338
1600000US2732912,2732912,"Kerrick city, Minnesota",34
1600000US2732966,2732966,"Kettle River city, Minnesota",88
1600000US2733056,2733056,"Kiester city, Minnesota",278
1600000US2733110,2733110,"Kilkenny city, Minnesota",61
1600000US2733164,2733164,"Kimball city, Minnesota",280
1600000US2733236,2733236,"Kinbrae city, Minnesota",14
1600000US2733344,2733344,"Kingston city, Minnesota",53
1600000US2733416,2733416,"Kinney city, Minnesota",88
1600000US2733866,2733866,"La Crescent city, Minnesota",2014
1600000US2733920,2733920,"Lafayette city, Minnesota",206
1600000US2734100,2734100,"Lake Benton city, Minnesota",365
1600000US2734136,2734136,"Lake Bronson city, Minnesota",147
1600000US2734172,2734172,"Lake City city, Minnesota",2347
1600000US2734190,2734190,"Lake Crystal city, Minnesota",973
1600000US2734244,2734244,"Lake Elmo city, Minnesota",2389
1600000US2734316,2734316,"Lakefield city, Minnesota",784
1600000US2734478,2734478,"Lake Henry city, Minnesota",43
1600000US2734622,2734622,"Lakeland city, Minnesota",705
1600000US2734658,2734658,"Lakeland Shores city, Minnesota",121
1600000US2734676,2734676,"Lake Lillian city, Minnesota",135
1600000US2734784,2734784,"Lake Park city, Minnesota",326
1600000US2734865,2734865,"Lake St. Croix Beach city, Minnesota",487
1600000US2734928,2734928,"Lake Shore city, Minnesota",858
1600000US2735180,2735180,"Lakeville city, Minnesota",13799
1600000US2735198,2735198,"Lake Wilson city, Minnesota",135
1600000US2735288,2735288,"Lamberton city, Minnesota",447
1600000US2735378,2735378,"Lancaster city, Minnesota",193
1600000US2735414,2735414,"Landfall city, Minnesota",300
1600000US2735450,2735450,"Lanesboro city, Minnesota",424
1600000US2735612,2735612,"Laporte city, Minnesota",79
1600000US2735648,2735648,"La Prairie city, Minnesota",249
1600000US2735702,2735702,"La Salle city, Minnesota",44
1600000US2735720,2735720,"Lastrup city, Minnesota",49
1600000US2735738,2735738,"Lauderdale city, Minnesota",1169
1600000US2736134,2736134,"Le Center city, Minnesota",877
1600000US2736404,2736404,"Lengby city, Minnesota",53
1600000US2736494,2736494,"Leonard city, Minnesota",19
1600000US2736530,2736530,"Leonidas city, Minnesota",27
1600000US2736548,2736548,"Leota CDP, Minnesota",122
1600000US2736620,2736620,"Le Roy city, Minnesota",433
1600000US2736728,2736728,"Lester Prairie city, Minnesota",531
1600000US2736746,2736746,"Le Sueur city, Minnesota",1589
1600000US2736800,2736800,"Lewiston city, Minnesota",563
1600000US2736818,2736818,"Lewisville city, Minnesota",126
1600000US2736836,2736836,"Lexington city, Minnesota",879
1600000US2737016,2737016,"Lilydale city, Minnesota",383
1600000US2737304,2737304,"Lindstrom city, Minnesota",1322
1600000US2737322,2737322,"Lino Lakes city, Minnesota",4921
1600000US2737412,2737412,"Lismore city, Minnesota",103
1600000US2737448,2737448,"Litchfield city, Minnesota",2741
1600000US2737502,2737502,"Little Canada city, Minnesota",4471
1600000US2737556,2737556,"Little Falls city, Minnesota",3358
1600000US2737592,2737592,"Littlefork city, Minnesota",302
1600000US2737656,2737656,"Little Rock CDP, Minnesota",298
1600000US2737970,2737970,"Long Beach city, Minnesota",159
1600000US2738006,2738006,"Long Lake city, Minnesota",764
1600000US2738060,2738060,"Long Prairie city, Minnesota",1334
1600000US2738114,2738114,"Longville city, Minnesota",150
1600000US2738150,2738150,"Lonsdale city, Minnesota",577
1600000US2738222,2738222,"Loretto city, Minnesota",228
1600000US2738258,2738258,"Louisburg city, Minnesota",29
1600000US2738366,2738366,"Lowry city, Minnesota",122
1600000US2738420,2738420,"Lucan city, Minnesota",108
1600000US2738564,2738564,"Luverne city, Minnesota",2161
1600000US2738654,2738654,"Lyle city, Minnesota",225
1600000US2738708,2738708,"Lynd city, Minnesota",134
1600000US2738888,2738888,"Mabel city, Minnesota",365
1600000US2738996,2738996,"McGrath city, Minnesota",41
1600000US2739014,2739014,"McGregor city, Minnesota",199
1600000US2739050,2739050,"McIntosh city, Minnesota",285
1600000US2739140,2739140,"McKinley city, Minnesota",43
1600000US2739230,2739230,"Madelia city, Minnesota",1000
1600000US2739266,2739266,"Madison city, Minnesota",882
1600000US2739320,2739320,"Madison Lake city, Minnesota",370
1600000US2739338,2739338,"Magnolia city, Minnesota",87
1600000US2739392,2739392,"Mahnomen city, Minnesota",576
1600000US2739428,2739428,"Mahtomedi city, Minnesota",2581
1600000US2739716,2739716,"Manchester city, Minnesota",33
1600000US2739806,2739806,"Manhattan Beach city, Minnesota",61
1600000US2739878,2739878,"Mankato city, Minnesota",12759
1600000US2739986,2739986,"Mantorville city, Minnesota",378
1600000US2740166,2740166,"Maple Grove city, Minnesota",17745
1600000US2740220,2740220,"Maple Lake city, Minnesota",632
1600000US2740256,2740256,"Maple Plain city, Minnesota",786
1600000US2740310,2740310,"Mapleton city, Minnesota",656
1600000US2740346,2740346,"Mapleview city, Minnesota",96
