Id,Id2,Geography,HousingUnits,MOE
1600000US2743810,2743810,"Montrose city, Minnesota",1055,184
1600000US2743864,2743864,"Moorhead city, Minnesota",15426,263
1600000US2743954,2743954,"Moose Lake city, Minnesota",902,221
1600000US2744044,2744044,"Mora city, Minnesota",1792,112
1600000US2744116,2744116,"Morgan city, Minnesota",450,44
1600000US2744242,2744242,"Morris city, Minnesota",2294,107
1600000US2744296,2744296,"Morristown city, Minnesota",395,45
1600000US2744368,2744368,"Morton city, Minnesota",156,34
1600000US2744422,2744422,"Motley city, Minnesota",299,53
1600000US2744476,2744476,"Mound city, Minnesota",4257,161
1600000US2744530,2744530,"Mounds View city, Minnesota",5144,167
1600000US2744548,2744548,"Mountain Iron city, Minnesota",1465,131
1600000US2744566,2744566,"Mountain Lake city, Minnesota",994,81
1600000US2744818,2744818,"Murdock city, Minnesota",154,33
1600000US2744890,2744890,"Myrtle city, Minnesota",26,16
1600000US2744944,2744944,"Nashua city, Minnesota",30,11
1600000US2744980,2744980,"Nashwauk city, Minnesota",542,74
1600000US2745016,2745016,"Nassau city, Minnesota",47,11
1600000US2745052,2745052,"Naytahwaush CDP, Minnesota",159,24
1600000US2745106,2745106,"Nelson city, Minnesota",109,28
1600000US2745196,2745196,"Nerstrand city, Minnesota",103,23
1600000US2745268,2745268,"Nett Lake CDP, Minnesota",115,34
1600000US2745340,2745340,"Nevis city, Minnesota",264,61
1600000US2745376,2745376,"New Auburn city, Minnesota",208,38
1600000US2745430,2745430,"New Brighton city, Minnesota",9377,303
1600000US2745520,2745520,"Newfolden city, Minnesota",203,30
1600000US2745556,2745556,"New Germany city, Minnesota",170,30
1600000US2745628,2745628,"New Hope city, Minnesota",8895,345
1600000US2745682,2745682,"New London city, Minnesota",644,67
1600000US2745772,2745772,"New Munich city, Minnesota",150,24
1600000US2745790,2745790,"Newport city, Minnesota",1524,112
1600000US2745808,2745808,"New Prague city, Minnesota",2950,177
1600000US2745862,2745862,"New Richland city, Minnesota",461,34
1600000US2746024,2746024,"New Trier city, Minnesota",49,11
1600000US2746042,2746042,"New Ulm city, Minnesota",6035,145
1600000US2746060,2746060,"New York Mills city, Minnesota",725,73
1600000US2746150,2746150,"Nicollet city, Minnesota",503,64
1600000US2746258,2746258,"Nielsville city, Minnesota",77,19
1600000US2746294,2746294,"Nimrod city, Minnesota",57,16
1600000US2746348,2746348,"Nisswa city, Minnesota",1608,124
1600000US2746492,2746492,"Norcross city, Minnesota",38,10
1600000US2746798,2746798,"North Branch city, Minnesota",3694,179
1600000US2746924,2746924,"Northfield city, Minnesota",6887,282
1600000US2747068,2747068,"North Mankato city, Minnesota",5890,171
1600000US2747104,2747104,"North Oaks city, Minnesota",1778,167
1600000US2747122,2747122,"Northome city, Minnesota",102,29
1600000US2747212,2747212,"Northrop city, Minnesota",114,26
1600000US2747221,2747221,"North St. Paul city, Minnesota",4781,214
1600000US2747520,2747520,"Norwood Young America city, Minnesota",1381,142
1600000US2747536,2747536,"Nowthen city, Minnesota",1536,79
1600000US2747680,2747680,"Oakdale city, Minnesota",10896,320
1600000US2747690,2747690,"Oak Grove city, Minnesota",2767,215
1600000US2747914,2747914,"Oak Park Heights city, Minnesota",2119,170
1600000US2747923,2747923,"Oakport CDP, Minnesota",478,46
1600000US2748058,2748058,"Odessa city, Minnesota",85,23
1600000US2748094,2748094,"Odin city, Minnesota",64,18
1600000US2748130,2748130,"Ogema city, Minnesota",75,19
1600000US2748166,2748166,"Ogilvie city, Minnesota",207,38
1600000US2748184,2748184,"Okabena city, Minnesota",79,14
1600000US2748202,2748202,"Oklee city, Minnesota",210,30
1600000US2748256,2748256,"Olivia city, Minnesota",1167,60
1600000US2748310,2748310,"Onamia city, Minnesota",432,54
1600000US2748562,2748562,"Ormsby city, Minnesota",93,43
1600000US2748580,2748580,"Orono city, Minnesota",3299,149
1600000US2748598,2748598,"Oronoco city, Minnesota",437,49
1600000US2748634,2748634,"Orr city, Minnesota",178,27
1600000US2748706,2748706,"Ortonville city, Minnesota",1097,48
